prestador	tipo	siges_sucursal_id	empresa	sucursal	decision	motivo	discrepancia_km_o_location_type	formatted_address
SAN JUAN	pin	3618	Gobierno de San Juan	Escuela Agrotecnica Los Pioneros	DEJADO	PIN ROTO en Gestión, geocode impreciso: corregir en Gestión	1330.134	Belgrano, San Juan, Argentina
SAN JUAN	pin	12356	Gobierno de San Juan	Escuela Juana C. Aberastain	DEJADO	PIN ROTO en Gestión, geocode impreciso: corregir en Gestión	1330.134	Belgrano, San Juan, Argentina
SAN JUAN	pin	3208	Gobierno de San Juan	Escuela America	DEJADO	PIN ROTO en Gestión, geocode impreciso: corregir en Gestión	1328.051	C. 9, San Juan, Argentina
SAN JUAN	pin	6618	Gobierno de San Juan	CENTRO DE FORMACION PROFESIONAL N.º 1  DE RAWSON	DEJADO	PIN ROTO en Gestión, geocode impreciso: corregir en Gestión	1326.651	Rawson Department, San Juan Province, Argentina
SAN JUAN	pin	4642	Gobierno de San Juan	ENI N.º 75 Elena Santa Cruz	DEJADO	PIN ROTO en Gestión, geocode impreciso: corregir en Gestión	1326.651	Rawson Department, San Juan Province, Argentina
SAN JUAN	pin	12182	Gobierno de San Juan	Escuela Fray Luis Beltran	DEJADO	PIN ROTO en Gestión, geocode impreciso: corregir en Gestión	1326.651	Rawson Department, San Juan Province, Argentina
SAN JUAN	pin	5257	Gobierno de San Juan	Escuela Pcia. De Misiones	DEJADO	PIN ROTO en Gestión, geocode impreciso: corregir en Gestión	1326.651	Rawson Department, San Juan Province, Argentina
SAN JUAN	pin	12288	Gobierno de San Juan	Escuela Sec. Alas Argentinas	DEJADO	PIN ROTO en Gestión, geocode impreciso: corregir en Gestión	1326.651	Rawson Department, San Juan Province, Argentina
SAN JUAN	pin	9096	Gobierno de San Juan	ENI N.º 52 Ruth Harft	DEJADO	PIN ROTO en Gestión, geocode impreciso: corregir en Gestión	1146.178	Yapeyú, J5425 Villa Krause, San Juan, Argentina
SAN JUAN	pin	4967	Gobierno de San Juan	Unidad De Gestion Iglesia	DEJADO	PIN ROTO en Gestión, geocode impreciso: corregir en Gestión	1134.088	Iglesia Department, San Juan Province, Argentina
SAN JUAN	pin	9161	Gobierno de San Juan	JINZ Nro 6 - 17 de Agosto	DEJADO	PIN ROTO en Gestión, geocode impreciso: corregir en Gestión	1132.611	Sarmiento, Las Flores, Iglesia, San Juan, Argentina
SAN JUAN	pin	8829	Gobierno de San Juan	ENI N.º 32	DEJADO	PIN ROTO en Gestión, geocode impreciso: corregir en Gestión	1120.549	Av. Santo Domingo 4291, J5465 Rodeo, San Juan, Argentina
SAN JUAN	pin	3558	Gobierno de San Juan	Escuela Albergue Rodeo	DEJADO	PIN ROTO en Gestión, geocode impreciso: corregir en Gestión	1120.549	Av. Santo Domingo 4291, J5465 Rodeo, San Juan, Argentina
SAN JUAN	pin	3552	Gobierno de San Juan	Escuela Sec. Martin Yanzon	DEJADO	PIN ROTO en Gestión, geocode impreciso: corregir en Gestión	1096.696	C. 4, San Juan, Argentina
SAN JUAN	pin	9164	Gobierno de San Juan	JINZ N.º 9 Martin Yanzon	DEJADO	PIN ROTO en Gestión, geocode impreciso: corregir en Gestión	1096.696	C. 4, San Juan, Argentina
SAN JUAN	pin	3625	Gobierno de San Juan	Escuela Jose P. Cortinez	DEJADO	PIN ROTO en Gestión, geocode impreciso: corregir en Gestión	1062.36	Santa Lucía, San Juan, Argentina
